Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-3,-7
Purchases of investments,-5906,-479,-11028,-656,-329
Sales/Maturities of investments,2686,11531,32622,-,-
Net cash used for investing activites,-3220,11052,21594,-659,-336
Debt repayment,-,-335,-11570,-,-
Common stock issued,-,-,-,-,7938
Common stock repurchased,-,-44,-8543,-,-
Net cash used privided by (used for) financing activities,-139,-379,-20031,144,7938
Net change in cash,-7357,7735,-511,-1095,-2752
Cash at beginning of period,10764,1472,1983,3078,5830
Cash at end of period,3407,9207,1472,1983,3078
Capital Expenditure,-,-,-,-3,-7
Free Cash Flow,-3998,-2938,-2074,-583,-10361
