Attribute,Value
Previous Close,6.08
Open,6.00
Bid,5.99 x 1000
Ask,6.21 x 900
Day's Range,5.91 - 6.00
52 Week Range,4.37 - 7.48
Volume,33258
Avg. Volume,18590
Net Assets,14.96M
NAV,6.04
PE Ratio (TTM),
Yield,10.55%
YTD Daily Total Return,-12.15%
Beta (5Y Monthly),0.42
Expense Ratio (net),0.65%
Inception Date,2013-04-16
