Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,397140,397140,356371,306374,302306
Depreciation & amortization,-,-,120819,76909,67649
Change in working capital,-,-,168000,80626,6193
Other working capital,-,-,461206,62476,-398689
Other non-cash items,-,-,46921,42395,59701
Net cash provided by operating activites,-,-,712627,521616,458873
Investments in property plant and equipment,-,-,-251421,-459140,-857562
Acquisitions net,-,-,-11426,-38412,-
Purchases of investments,-,-,-52572,0,-23500
Sales/Maturities of investments,-,-,-,-,0
Other investing activites,-,-,220593,-5508,-473134
Net cash used for investing activites,-,-,-253947,-503054,-1354196
Net change in cash,-,-,352571,-267029,313264
Cash at beginning of period,-,-,294107,564196,248600
Cash at end of period,-,-,639392,294107,564196
Operating Cash Flow,-,-,712627,521616,458873
Capital Expenditure,-,-,-251421,-459140,-857562
Free Cash Flow,-,-,461206,62476,-398689
