Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6020000,6049000,5455000,4230000
Depreciation & amortization,-,3790000,3011000,2872000
Change in working capital,-,-2412000,-620000,-1821000
Inventory,-,-740000,-1333000,86000
Other working capital,-,2854000,3883000,3637000
Other non-cash items,-,1417000,348000,1578000
Net cash provided by operating activites,-,9498000,8447000,7278000
Investments in property plant and equipment,-,-6644000,-4564000,-3641000
Purchases of investments,-,-,-33000,-
Sales/Maturities of investments,-,31000,26000,-
Other investing activites,-,-132000,134000,1798000
Net cash used for investing activites,-,-6745000,-4437000,-1843000
Net change in cash,-,-1179000,2649000,3604000
Cash at beginning of period,-,41982000,38981000,35377000
Cash at end of period,-,40802000,41982000,38981000
Operating Cash Flow,-,9498000,8447000,7278000
Capital Expenditure,-,-6644000,-4564000,-3641000
Free Cash Flow,-,2854000,3883000,3637000
