Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3477000,4426000,5210000,4457000
Depreciation & amortization,-,2609000,2681000,2677000
Change in working capital,-,379000,-882000,-199000
Other working capital,-,1767000,4197000,6870000
Other non-cash items,-,703000,-1606000,585000
Net cash provided by operating activites,-,6987000,7142000,8368000
Investments in property plant and equipment,-,-5220000,-2945000,-1498000
Purchases of investments,-,-184000,-646000,-1193000
Sales/Maturities of investments,-,422000,-,26000
Other investing activites,-,230000,324000,181000
Net cash used for investing activites,-,-4650000,-3131000,-2143000
Net change in cash,-,740000,1169000,976000
Cash at beginning of period,-,17106000,15936000,14598000
Cash at end of period,-,17846000,17106000,15936000
Operating Cash Flow,-,6987000,7142000,8368000
Capital Expenditure,-,-5220000,-2945000,-1498000
Free Cash Flow,-,1767000,4197000,6870000
