Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-475.775,-3856,-1804,-1652,-517.565
Purchases of investments,-,-,10,-112,-
Other investing activites,-,-,-,-,25.984
Net cash used for investing activites,-475.775,-3856,-1794,-1764,-491.581
Common stock issued,877.341,4094,3500,6843,1513
Common stock repurchased,-,-179.496,-298.372,-432.37,-58.446
Other financing activites,2675,2677,-1193,-335.29,-
Net cash used privided by (used for) financing activities,1038,6592,2009,6075,1455
Net change in cash,213.969,1914,-1310,3031,-95.175
Cash at beginning of period,1546,1980,3290,258.846,354.021
Cash at end of period,1760,3894,1980,3290,258.846
Capital Expenditure,-475.775,-3856,-1804,-1652,-517.565
Free Cash Flow,-823.697,-4678,-3328,-2932,-1576
