Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4777000,6494000,3394000,3367000
Depreciation & amortization,-,4977000,5159000,5549000
Change in working capital,-,-1910000,-1706000,-3370000
Inventory,-,-999000,210000,-3824000
Other working capital,-,4097000,2339000,4820000
Other non-cash items,-,315000,304000,191000
Net cash provided by operating activites,-,8316000,6394000,5889000
Investments in property plant and equipment,-,-4219000,-4055000,-1069000
Acquisitions net,-,-,-,-396000
Sales/Maturities of investments,-,83000,-,-
Other investing activites,-,22000,7000,4000
Net cash used for investing activites,-,-4114000,-4048000,-1443000
Net change in cash,-,415000,-436000,394000
Cash at beginning of period,-,1184000,1620000,1226000
Cash at end of period,-,1600000,1184000,1620000
Operating Cash Flow,-,8316000,6394000,5889000
Capital Expenditure,-,-4219000,-4055000,-1069000
Free Cash Flow,-,4097000,2339000,4820000
