Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-142.022,-61.49,-29.122,-53.684,-42.19
Purchases of investments,-2274,-2480,-134.659,-464.341,-9.909
Sales/Maturities of investments,-,-,-,-,125.661
Other investing activites,-,-,-,-,812.29
Net cash used for investing activites,-2416,-2542,-163.781,-518.025,885.852
Debt repayment,-,-,-1000,-1130,-
Common stock issued,24484,27554,14533,6295,6146
Common stock repurchased,-,-1509,-436.65,-441.317,-301.244
Net cash used privided by (used for) financing activities,23153,26044,14096,5854,5845
Net change in cash,9196,13946,4813,-1707,866.352
Cash at beginning of period,6110,5674,857.777,2564,1697
Cash at end of period,15306,19618,5674,857.777,2564
Capital Expenditure,-142.022,-61.49,-29.122,-53.684,-42.19
Free Cash Flow,-11683,-9618,-9149,-7097,-5907
