Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,455373,455373,1148434,558612,154717
Depreciation & amortization,1157868,1157868,949710,807675,703644
Change in working capital,-271270,-271270,-3401734,-700292,165338
Inventory,-47523,-47523,4360,-19098,-7298
Other working capital,75221,75221,-2494616,-54211,443784
Other non-cash items,703033,703033,1128706,595292,396815
Net cash provided by operating activites,2582319,2582319,-968278,1249281,1765051
Investments in property plant and equipment,-2507098,-2507098,-1526338,-1303492,-1321267
Acquisitions net,-11758,-11758,-91,0,0
Purchases of investments,0,0,-1550229,-25529,-859105
Sales/Maturities of investments,1448204,1448204,-,244608,-
Other investing activites,-422125,-422125,-188862,-16081,-
Net cash used for investing activites,-1396810,-1396810,-3231188,-980821,-2128233
Net change in cash,-43635,-43635,-214743,124281,-286427
Cash at beginning of period,706738,706738,921481,797200,1083627
Cash at end of period,663103,663103,706738,921481,797200
Operating Cash Flow,2582319,2582319,-968278,1249281,1765051
Capital Expenditure,-2507098,-2507098,-1526338,-1303492,-1321267
Free Cash Flow,75221,75221,-2494616,-54211,443784
