Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-788000,-834000,-288000,1017000
Depreciation & amortization,-,3664000,4187000,4518000
Change in working capital,-,-1085000,-1032000,-519000
Inventory,-,784000,-1662000,-192000
Other working capital,-,-3078000,-926000,-238000
Other non-cash items,-,344000,323000,83000
Net cash provided by operating activites,-,1608000,2788000,4604000
Investments in property plant and equipment,-,-4686000,-3714000,-4842000
Purchases of investments,-,-253000,-398000,-153000
Sales/Maturities of investments,-,273000,176000,531000
Other investing activites,-,2000,-43000,-12000
Net cash used for investing activites,-,-2091000,-787000,-3465000
Net change in cash,-,294000,470000,-656000
Cash at beginning of period,-,10482000,10011000,10668000
Cash at end of period,-,10776000,10482000,10011000
Operating Cash Flow,-,1608000,2788000,4604000
Capital Expenditure,-,-4686000,-3714000,-4842000
Free Cash Flow,-,-3078000,-926000,-238000
