Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Acquisitions net,-,-,-,-,-995
Purchases of investments,-40550,-69143,-83034,-40545,-21579
Sales/Maturities of investments,6668,3518,7120,-43,7139
Net cash used for investing activites,-33882,-65625,-75914,-40588,-15435
Debt repayment,-,-50000,-16022,-194,-3849
Common stock issued,65269,48973,-,-,-
Common stock repurchased,-,-,63908,-27,-28
Dividends Paid,-29203,-29565,-28607,-21557,-18325
Other financing activites,-,-170,-1093,-104,-491
Net cash used privided by (used for) financing activities,-3324,28238,41686,11235,-12193
Net change in cash,-1268,-520,-428,-364,-1442
Cash at beginning of period,9026,8654,9082,9446,10888
Cash at end of period,7758,8134,8654,9082,9446
Free Cash Flow,35938,36867,33800,28989,26186
