Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,83459,83459,91881,85644
Other working capital,104708,104708,76539,15338
Net cash provided by operating activites,-,-,76539,15649
Investments in property plant and equipment,-284.0488,-284.0488,-76436,-311.021
Acquisitions net,-18015,-18015,0,0
Purchases of investments,-,-115124,0,0
Sales/Maturities of investments,-,-,0,0
Other investing activites,-115124,-115124,-76436,-67960
Net cash used for investing activites,-133423,-133423,-76436,-68271
Debt repayment,-4688,-4688,0,0
Common stock issued,-,-,0,0
Dividends Paid,-,-,-328.2719,-89.4881
Other financing activites,-14179,-14179,1789,682.2973
Net cash used privided by (used for) financing activities,29242,29242,1461,592.8091
Net change in cash,810.95,810.95,1565,-52029
Cash at beginning of period,78678,78678,74005,125719
Cash at end of period,81140,81140,75128,74823
Operating Cash Flow,-,-,76539,15649
Capital Expenditure,-284.0488,-284.0488,-76436,-311.021
Free Cash Flow,104708,104708,76539,15338
