Breakdown,ttm,12/31/2018
Net Income,55360,55360
Depreciation & amortization,160,160
Change in working capital,-49583,-49583
Other working capital,-68294,-68294
Other non-cash items,217,217
Net cash provided by operating activites,-68294,-68294
Purchases of investments,-30070,-30070
Sales/Maturities of investments,101986,101986
Net cash used for investing activites,71916,71916
Net change in cash,54240,54240
Cash at beginning of period,41301,41301
Cash at end of period,95542,95542
Operating Cash Flow,-68294,-68294
Free Cash Flow,-68294,-68294
