Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1451000,1018000,4378000,2563000
Depreciation & amortization,-,2944000,2474000,2343000
Change in working capital,-,-1826000,-1588000,-894000
Inventory,-,-1766000,-837000,-305000
Other working capital,-,-3397000,1345000,1788000
Other non-cash items,-,4650000,-96000,237000
Net cash provided by operating activites,-,2146000,5410000,4101000
Investments in property plant and equipment,-,-5543000,-4065000,-2313000
Acquisitions net,-,-256000,-,-
Purchases of investments,-,-2122000,-3386000,-3154000
Sales/Maturities of investments,-,3729000,2707000,1854000
Other investing activites,-,-18000,106000,716000
Net cash used for investing activites,-,-4261000,-4691000,-1549000
Net change in cash,-,-3524000,-449000,1313000
Cash at beginning of period,-,17474000,17923000,16609000
Cash at end of period,-,13993000,17474000,17923000
Operating Cash Flow,-,2146000,5410000,4101000
Capital Expenditure,-,-5543000,-4065000,-2313000
Free Cash Flow,-,-3397000,1345000,1788000
