Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2597,-2133,-1595,-944.93,-428.614
Net cash used for investing activites,-2597,-2133,-1095,-944.93,-428.614
Common stock issued,-,7707,1423,2044,908.3
Common stock repurchased,-,-573.691,-76.669,-89.917,-
Net cash used privided by (used for) financing activities,2719,7133,1347,1954,908.3
Net change in cash,-686.934,4208,-168.915,243.816,-405.326
Cash at beginning of period,3219,553.481,722.396,478.58,883.906
Cash at end of period,2532,4761,553.481,722.396,478.58
Capital Expenditure,-2597,-2133,-1595,-944.93,-428.614
Free Cash Flow,-3406,-2925,-2016,-1710,-1314
