Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,937201,1239996,1098411,966606
Depreciation & amortization,-,490438,480010,428376
Change in working capital,-,3481862,-631446,-2003999
Inventory,-,7129,-623690,-73349
Other working capital,-,4702713,416633,-1257614
Other non-cash items,-,-,-,-59763
Net cash provided by operating activites,-,5187564,1073633,-623615
Investments in property plant and equipment,-,-484851,-657000,-633999
Purchases of investments,-,-161756,-437752,-541863
Sales/Maturities of investments,-,28677,746526,798654
Net cash used for investing activites,-,-582077,-347738,-375561
Net change in cash,-,4077047,448235,-1240090
Cash at beginning of period,-,3395541,2947306,4187396
Cash at end of period,-,7472589,3395541,2947306
Operating Cash Flow,-,5187564,1073633,-623615
Capital Expenditure,-,-484851,-657000,-633999
Free Cash Flow,-,4702713,416633,-1257614
