Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,35665,35665,35974,32753,30882
Interest Expense,4887,4887,3512,2386,1982
Income Before Tax,11794,11794,12422,10174,8260
Income Tax Expense,2238,2238,2287,3726,2353
Income from Continuing Operations,9556,9556,10135,6448,5907
Net Income,9556,9556,10135,6448,5907
Net Income available to common shareholders,9556,9556,10135,6448,5907
Basic EPS,-,-,2.05,1.30,1.20
Diluted EPS,-,-,2.04,1.30,1.20
Basic Average Shares,-,-,4954,4941,4925
Diluted Average Shares,-,-,4956,4944,4928
