Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3709000,6420000,6820000,7952000
Depreciation & amortization,-,2798000,2495000,2235000
Change in working capital,-,143000,-1263000,746000
Inventory,-,-2117000,-101000,235000
Other working capital,-,4037000,5233000,7538000
Other non-cash items,-,43000,1520000,137000
Net cash provided by operating activites,-,9972000,9090000,10833000
Investments in property plant and equipment,-,-5935000,-3857000,-3295000
Purchases of investments,-,-1321000,-58000,-17000
Sales/Maturities of investments,-,138000,270000,-
Other investing activites,-,-43000,-902000,685000
Net cash used for investing activites,-,-7161000,-4521000,-2625000
Net change in cash,-,-605000,268000,6604000
Cash at beginning of period,-,22071000,21531000,14927000
Cash at end of period,-,21465000,22071000,21531000
Operating Cash Flow,-,9972000,9090000,10833000
Capital Expenditure,-,-5935000,-3857000,-3295000
Free Cash Flow,-,4037000,5233000,7538000
