Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,386000,386000,620000,692000,793000
Depreciation & amortization,317000,317000,235000,169000,132000
Change in working capital,1807000,1807000,672000,918000,-189000
Other working capital,2998000,2998000,1689000,1980000,1036000
Other non-cash items,120000,120000,126000,141000,185000
Net cash provided by operating activites,3302000,3302000,1968000,2259000,1316000
Investments in property plant and equipment,-304000,-304000,-279000,-279000,-280000
Acquisitions net,-,-,0,-48000,-5000
Purchases of investments,-2328000,-2328000,-6092000,-4763000,-4082000
Sales/Maturities of investments,3200000,3200000,2834000,4001000,3194000
Other investing activites,-,-,35000,3000,17000
Net cash used for investing activites,651000,651000,-3552000,-1054000,-1167000
Cash at beginning of period,8349000,8349000,10201000,8299000,10975000
Cash at end of period,11326000,11326000,8349000,10201000,8299000
Operating Cash Flow,3302000,3302000,1968000,2259000,1316000
Capital Expenditure,-304000,-304000,-279000,-279000,-280000
Free Cash Flow,2998000,2998000,1689000,1980000,1036000
