Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1937421,1807830,1395254,1061650
Depreciation & amortization,-,228422,276798,301727
Change in working capital,-,-320052,160279,-232287
Inventory,-,-8852,-2312,5332
Other working capital,-,1473107,1918929,818318
Other non-cash items,-,-108938,49577,-61273
Net cash provided by operating activites,-,1544248,1953430,933977
Investments in property plant and equipment,-,-71141,-34501,-115659
Acquisitions net,-,-,-4300,-608977
Purchases of investments,-,-50000,-,-2241
Sales/Maturities of investments,-,-,106236,116351
Other investing activites,-,7106,5822,-17161
Net cash used for investing activites,-,-109720,378262,-627687
Net change in cash,-,3608352,1687835,215525
Cash at beginning of period,-,4200879,2513044,2297518
Cash at end of period,-,7809231,4200879,2513044
Operating Cash Flow,-,1544248,1953430,933977
Capital Expenditure,-,-71141,-34501,-115659
Free Cash Flow,-,1473107,1918929,818318
