Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3412,-3412,-3459,-2102,-1222
Purchases of investments,-578,-578,-,-,-
Net cash used for investing activites,-3986,-3986,-3459,-1728,-1222
Net change in cash,-2638,-2638,-3127,-1479,-2492
Cash at beginning of period,4971,4971,8098,9577,12069
Cash at end of period,2333,2333,4971,8098,9577
Capital Expenditure,-3412,-3412,-3459,-2102,-1222
Free Cash Flow,-2064,-2064,-3127,-1853,-2492
