Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-88346,-81575,-110862,-2943,-7474
Purchases of investments,-,-6,2584,-,-
Sales/Maturities of investments,-,-,-,465,1656
Other investing activites,6192,1000,-9353,-,-
Net cash used for investing activites,-80875,-80581,-117631,-2378,-5806
Common stock issued,-,-,140115,-,6821
Common stock repurchased,-,-,-4623,-,-91
Other financing activites,-,53587,43752,-2481,-
Net cash used privided by (used for) financing activities,71365,53587,179244,-2481,6730
Net change in cash,-18253,-33939,54002,-11201,-1124
Cash at beginning of period,69657,65532,11690,22891,24015
Cash at end of period,51404,31465,65532,11690,22891
Capital Expenditure,-88346,-81575,-110862,-2943,-7474
Free Cash Flow,-97089,-88520,-118473,-9285,-9522
