Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,660000,573000,415000,-547000
Depreciation & amortization,-,627000,621000,629000
Change in working capital,-,-341000,-607000,1370000
Inventory,-,-173000,-632000,768000
Other working capital,-,-569000,348000,845000
Other non-cash items,-,413000,189000,208000
Net cash provided by operating activites,-,981000,939000,1231000
Investments in property plant and equipment,-,-1550000,-591000,-386000
Acquisitions net,-,-,-101000,-
Purchases of investments,-,-1000,-1000,-284000
Sales/Maturities of investments,-,49000,84000,369000
Other investing activites,-,114000,-67000,62000
Net cash used for investing activites,-,-1277000,-854000,-58000
Net change in cash,-,256000,-14000,-120000
Cash at beginning of period,-,2091000,2105000,2226000
Cash at end of period,-,2347000,2091000,2105000
Operating Cash Flow,-,981000,939000,1231000
Capital Expenditure,-,-1550000,-591000,-386000
Free Cash Flow,-,-569000,348000,845000
