Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,148516,702379,731153,767106
Depreciation & amortization,-,679457,723999,684036
Change in working capital,-,33760,215708,-360534
Inventory,-,-93245,21794,36279
Other working capital,-,930979,639223,677282
Other non-cash items,-,-1149,-98533,85148
Net cash provided by operating activites,-,1387322,1451453,1486202
Investments in property plant and equipment,-,-456343,-812230,-808920
Acquisitions net,-,-114000,-30592,-
Purchases of investments,-,-14031,-12621,-54917
Sales/Maturities of investments,-,4361,105415,-
Other investing activites,-,-334713,-319873,313856
Net cash used for investing activites,-,-911818,-1062212,-545549
Net change in cash,-,291792,201414,640636
Cash at beginning of period,-,2071657,1870242,1206848
Cash at end of period,-,2363449,2071657,1870242
Operating Cash Flow,-,1387322,1451453,1486202
Capital Expenditure,-,-456343,-812230,-808920
Free Cash Flow,-,930979,639223,677282
