Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1137590,1137590,1054135,947942,918817
Depreciation & amortization,669007,669007,573064,544161,523623
Change in working capital,-114860,-114860,60488,-20141,15289
Other working capital,2137332,2137332,2081398,1922927,1710690
Other non-cash items,-5907,-5907,-4627,-3660,-3855
Net cash provided by operating activites,2142061,2142061,2096870,1943311,1721847
Investments in property plant and equipment,-4729,-4729,-15472,-20384,-11157
Acquisitions net,-5841584,-5841584,-2250,-11583,-179200
Purchases of investments,-,-,-,-116366,-
Sales/Maturities of investments,0,0,115732,-,10000
Other investing activites,-95320,-95320,-54033,-67007,-23307
Net cash used for investing activites,-5512808,-5512808,472444,144717,289798
Net change in cash,-957094,-957094,-500582,1798173,158369
Cash at beginning of period,2393222,2393222,2842452,1045922,866665
Cash at end of period,1435062,1435062,2393222,2842452,1045922
Operating Cash Flow,2142061,2142061,2096870,1943311,1721847
Capital Expenditure,-4729,-4729,-15472,-20384,-11157
Free Cash Flow,2137332,2137332,2081398,1922927,1710690
