Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-837.012,-1003,-2060,-1764,-582.872
Net cash used for investing activites,-837.012,-1003,-2060,-1764,-582.872
Debt repayment,-,-,-,-,-38.252
Common stock issued,386.76,2089,14.706,8000,7180
Common stock repurchased,-206.333,-162.125,-,-309.411,-381.538
Other financing activites,-,-40.724,14.706,40.161,56.435
Net cash used privided by (used for) financing activities,1233,1886,14.706,7731,6816
Net change in cash,-2304,-1200,-4643,2580,285.672
Cash at beginning of period,4867,3967,8610,6029,5744
Cash at end of period,2562,2766,3967,8610,6029
Capital Expenditure,-837.012,-1003,-2060,-1764,-582.872
Free Cash Flow,-3537,-3086,-4657,-5150,-6531
