Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-171322,3801115,-279505,94415
Depreciation & amortization,-,292407,374367,366768
Change in working capital,-,-312320,35615,263568
Inventory,-,4213,34382,-29419
Other working capital,-,-1056786,351520,-4504
Other non-cash items,-,-24675,85781,-83805
Net cash provided by operating activites,-,-148188,372561,555420
Investments in property plant and equipment,-,-908598,-21041,-559924
Purchases of investments,-,-792000,-49440,-100000
Sales/Maturities of investments,-,108134,74406,249084
Other investing activites,-,25436,-41980,11930
Net cash used for investing activites,-,6001497,-1847906,-220680
Net change in cash,-,1534658,-277717,66458
Cash at beginning of period,-,1761858,2039575,1973117
Cash at end of period,-,3296516,1761858,2039575
Operating Cash Flow,-,-148188,372561,555420
Capital Expenditure,-,-908598,-21041,-559924
Free Cash Flow,-,-1056786,351520,-4504
