Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1701322,1521889,1368353,1314626
Depreciation & amortization,-,1465000,1469635,1440451
Change in working capital,-,-124487,-355871,76254
Inventory,-,174439,87530,9878
Other working capital,-,754115,2390249,2155615
Other non-cash items,-,244428,296617,262661
Net cash provided by operating activites,-,3052838,2937230,2932128
Investments in property plant and equipment,-,-2298723,-546981,-776513
Acquisitions net,-,-809574,0,-76000
Purchases of investments,-,-149432,-675092,-204090
Sales/Maturities of investments,-,172039,-,-
Other investing activites,-,11191,-1890,408
Net cash used for investing activites,-,-3074499,-1223963,-979630
Net change in cash,-,-3670,383178,224030
Cash at beginning of period,-,3303503,2920325,2696294
Cash at end of period,-,3299833,3303503,2920325
Operating Cash Flow,-,3052838,2937230,2932128
Capital Expenditure,-,-2298723,-546981,-776513
Free Cash Flow,-,754115,2390249,2155615
