Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,803590,803590,718918,620550,613436
Interest Expense,126114,126114,94443,58168,44431
Income Before Tax,290356,290356,208680,168664,200426
Income Tax Expense,52150,52150,17850,72939,66162
Income from Continuing Operations,238206,238206,190830,95725,134264
Net Income,238206,238206,190830,95725,134264
Net Income available to common shareholders,238206,238206,190830,95725,134264
Basic EPS,-,-,1.23,0.69,1.05
Diluted EPS,-,-,1.22,0.69,1.05
Basic Average Shares,-,-,155675,137821,127705
Diluted Average Shares,-,-,156539,138513,128301
