Attribute,Value
Previous Close,9.90
Open,10.31
Bid,10.37 x 0
Ask,10.28 x 0
Day's Range,10.00 - 10.64
52 Week Range,7.80 - 15.50
Volume,223817
Avg. Volume,111264
Net Assets,404.94M
NAV,10.27
PE Ratio (TTM),4.55
Yield,9.92%
YTD Daily Total Return,-26.26%
Beta (5Y Monthly),1.00
Expense Ratio (net),0.00%
Inception Date,2002-02-15
