Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5324626,4821576,4153995,4071455
Liabilities,,,,
Total Liabilities,4725364,4271797,3733644,3651362
Stockholders' Equity,,,,
Common Stock,117405,118633,162852,162677
Retained Earnings,239901,191585,145122,137449
Accumulated other comprehensive income,6333,-2480,1307,3463
Total stockholders' equity,599262,549779,420351,420093
Total liabilities and stockholders' equity,5324626,4821576,4153995,4071455
