Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,63909,63909,57080,55289,54379
Interest Expense,12990,12990,8172,5761,5063
Income Before Tax,10192,10192,7422,5007,3571
Income Tax Expense,2183,2183,1775,2984,1269
Income from Continuing Operations,8009,8009,5647,2023,2302
Net Income,8009,8009,5647,2023,2302
Net Income available to common shareholders,8009,8009,4269,-268,-538
Basic EPS,-,-,0.64,-0.04,-0.09
Diluted EPS,-,-,0.63,-0.04,-0.09
Basic Average Shares,-,-,6713,7543,7764
Diluted Average Shares,-,-,6754,7543,7543
