Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,818148,956839,1307147,1425941
Depreciation & amortization,-,353696,381404,380614
Change in working capital,-,-160816,-1204043,19805
Inventory,-,-538711,188888,-439952
Other working capital,-,-1190428,-1283774,1717910
Other non-cash items,-,-246335,72427,-58349
Net cash provided by operating activites,-,654963,238185,2141971
Investments in property plant and equipment,-,-1845391,-1521959,-424061
Purchases of investments,-,-11248,-14645,-8391
Sales/Maturities of investments,-,59236,-,-
Other investing activites,-,-18116,-2478,20988
Net cash used for investing activites,-,-1814699,-1539032,-411464
Net change in cash,-,-1388948,466527,626687
Cash at beginning of period,-,4226505,3759977,3133290
Cash at end of period,-,2837556,4226505,3759977
Operating Cash Flow,-,654963,238185,2141971
Capital Expenditure,-,-1845391,-1521959,-424061
Free Cash Flow,-,-1190428,-1283774,1717910
