Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-,-,-,-7
Purchases of investments,-104691,-104691,-31834,-34277
Sales/Maturities of investments,-,-,55132,30892
Net cash used for investing activites,-104691,-104691,23298,-3392
Common stock issued,-,-,127909,20516
Common stock repurchased,-4,-4,-1539,-
Dividends Paid,-5030,-5030,-2662,-2622
Net cash used privided by (used for) financing activities,-5034,-5034,123708,17894
Net change in cash,-121473,-121473,145995,9791
Cash at beginning of period,173261,173261,25073,16605
Cash at end of period,51863,51863,173261,25073
Capital Expenditure,-,-,-,-7
Free Cash Flow,-11748,-11748,-1011,-4718
