Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,83748,83748,70353,60213,53845
Interest Expense,25383,25383,16505,10333,8192
Income Before Tax,35479,35479,28690,23661,20369
Income Tax Expense,7621,7621,6401,10616,7333
Income from Continuing Operations,27858,27858,22289,13045,13036
Net Income,27858,27858,22289,13045,13036
Net Income available to common shareholders,27858,27858,22289,13045,13036
Basic EPS,-,-,3.02,1.86,2.06
Diluted EPS,-,-,2.88,1.76,1.94
Basic Average Shares,-,-,7384,7006,6318
Diluted Average Shares,-,-,7737,7393,6721
