Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-38362,199769,235403,139883
Depreciation & amortization,-,117523,151368,187447
Change in working capital,-,16419,-697376,-48522
Inventory,-,-12507,-443441,-270250
Other working capital,-420621,-280638,-716692,-25460
Other non-cash items,-,59409,107068,79235
Net cash provided by operating activites,70303,210286,-478228,341101
Investments in property plant and equipment,-,-490924,-238464,-366561
Acquisitions net,-,197589,0,-31623
Other investing activites,-,147191,68371,-157644
Net cash used for investing activites,-16711,398558,32618,-462148
Net change in cash,-135934,-163739,-7870,81586
Cash at beginning of period,299844,292878,299738,235164
Cash at end of period,163910,129023,292878,299738
Operating Cash Flow,70303,210286,-478228,341101
Capital Expenditure,-,-490924,-238464,-366561
Free Cash Flow,-420621,-280638,-716692,-25460
