Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,25225000,25581000,25809000,31207000
Depreciation & amortization,-,4678000,6610000,4501000
Change in working capital,-,-293859000,-114601000,351768000
Other working capital,-,-272512000,-121761000,356530000
Other non-cash items,-,-63744000,-99066000,-87251000
Net cash provided by operating activites,-,-264177000,-116170000,365741000
Investments in property plant and equipment,-,-8335000,-5591000,-9211000
Purchases of investments,-,-432086000,-284859000,-786813000
Sales/Maturities of investments,-,632439000,671253000,983608000
Other investing activites,-,-2000,-,-2000
Net cash used for investing activites,-,192018000,380803000,187634000
Net change in cash,-,-78260000,257466000,536865000
Cash at beginning of period,-,1502680000,1245160000,708294000
Cash at end of period,-,1424420000,1502680000,1245160000
Operating Cash Flow,-,-264177000,-116170000,365741000
Capital Expenditure,-,-8335000,-5591000,-9211000
Free Cash Flow,-,-272512000,-121761000,356530000
