Breakdown,ttm,6/30/2019
Common stock issued,2220,199.993
Common stock repurchased,-25.855,-484.279
Net cash used privided by (used for) financing activities,2113,-284.286
Net change in cash,-371.702,-1856
Cash at beginning of period,3983,5136
Cash at end of period,3611,3280
Free Cash Flow,-2706,-1572
