Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,87182,74485,160187,23462
Selling General and Administrative,604.946,607.132,622.486,777.918
Total Operating Expenses,44912,47780,53515,33173
Interest Expense,16495,18272,21701,26867
Income Before Tax,42270,26705,106672,-9710
Income from Continuing Operations,42270,26705,106672,-9710
Net Income,42270,26705,106672,-9710
Net Income available to common shareholders,42270,26705,106672,-9710
Basic EPS,-,0.15,0.62,-0.06
Diluted EPS,-,0.15,0.62,-0.06
Basic Average Shares,-,172750,172750,172750
Diluted Average Shares,-,172750,172750,172750
