Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-12974,-14642,-5995,-2567,-2811
Acquisitions net,-,-,-,-,-75
Sales/Maturities of investments,-,12062,5430,-,-
Other investing activites,-,-,-,1831,574.858
Net cash used for investing activites,-2952,-2580,-565.208,-736.304,-2311
Common stock issued,8050,11213,-,2500,-
Common stock repurchased,-,-672,-,-,-
Net cash used privided by (used for) financing activities,8891,11454,-,2500,-
Net change in cash,3415,6773,-740.722,714.06,-4314
Cash at beginning of period,4319,1358,2099,1386,5700
Cash at end of period,7734,8131,1358,2099,1386
Capital Expenditure,-12974,-14642,-5995,-2567,-2811
Free Cash Flow,-15497,-16742,-6171,-3617,-4814
