Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1556,4892,3463,4689
Depreciation & amortization,-,1024,1042,860.748
Stock based compensation,-,106.544,-,-
Change in working capital,-,-15267,-2374,1897
Inventory,-,-1489,39.192,-87.155
Other working capital,-9108,-10532,2491,6273
Other non-cash items,-,-68.272,-28.578,55.773
Net cash provided by operating activites,-8034,-10184,3073,7601
Investments in property plant and equipment,-1075,-348.379,-581.991,-1328
Acquisitions net,-1643,-853.071,-,-
Purchases of investments,-710.09,-1231,-,-
Other investing activites,305.304,231.366,-145.085,7330
Net cash used for investing activites,-1769,-7355,-9391,6029
Net change in cash,-9547,-17915,-2248,28744
Cash at beginning of period,39936,39413,43419,14675
Cash at end of period,30389,22567,39413,43419
Operating Cash Flow,-8034,-10184,3073,7601
Capital Expenditure,-1075,-348.379,-581.991,-1328
Free Cash Flow,-9108,-10532,2491,6273
