Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-292907,484340,1316856,1003419
Depreciation & amortization,-,4077966,3909393,3780587
Change in working capital,-,-872432,338502,539159
Inventory,-,3751,829234,-180310
Other working capital,-,1371711,3417769,3269661
Other non-cash items,-,-59331,147159,-287462
Net cash provided by operating activites,-,4581616,5346780,5924996
Investments in property plant and equipment,-,-3209905,-1929011,-2655335
Purchases of investments,-,-192540,-57599,-53659
Sales/Maturities of investments,-,79578,-,703778
Other investing activites,-,-2679,-1281,-10261
Net cash used for investing activites,-,-3293683,-1948775,-1876502
Net change in cash,-,98376,1001882,59669
Cash at beginning of period,-,5480567,4478684,4419014
Cash at end of period,-,5005676,5480567,4478684
Operating Cash Flow,-,4581616,5346780,5924996
Capital Expenditure,-,-3209905,-1929011,-2655335
Free Cash Flow,-,1371711,3417769,3269661
