Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,51304000,52548000,46684000,32455000
Depreciation & amortization,13948000,10082000,11143000,10690000
Change in working capital,-79441000,-122981000,-122737000,-38493000
Other working capital,-6671000,-79997000,-40319000,-24193000
Other non-cash items,-76891000,-104935000,-62664000,-80535000
Net cash provided by operating activites,8905000,-71665000,-33235000,-17952000
Investments in property plant and equipment,-15576000,-8332000,-7084000,-6241000
Acquisitions net,-10135000,-3574000,-,-1968000
Purchases of investments,-28083000,-125359000,-35555000,-66523000
Sales/Maturities of investments,41541000,107157000,48514000,62854000
Other investing activites,-1185000,-7754000,5822000,8062000
Net cash used for investing activites,-49418000,-54731000,7881000,2437000
Net change in cash,76423000,281350000,49221000,143952000
Cash at beginning of period,782508000,437148000,391572000,248050000
Cash at end of period,858931000,713974000,437148000,391572000
Operating Cash Flow,8905000,-71665000,-33235000,-17952000
Capital Expenditure,-15576000,-8332000,-7084000,-6241000
Free Cash Flow,-6671000,-79997000,-40319000,-24193000
