Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1379083,1379083,1310620,1100867,915599
Depreciation & amortization,237359,237359,252900,226397,207479
Change in working capital,50612,50612,64779,248978,-100103
Other working capital,770183,770183,639306,780578,64503
Net cash provided by operating activites,1233451,1233451,1031725,1314404,520461
Investments in property plant and equipment,-463268,-463268,-392419,-533826,-455958
Acquisitions net,-,-,0,-,-
Net cash used for investing activites,-316032,-316032,-168114,-487513,-442773
Net change in cash,123791,123791,-497103,384508,-272837
Cash at beginning of period,769472,769472,1266575,882067,1154904
Cash at end of period,893263,893263,769472,1266575,882067
Operating Cash Flow,1233451,1233451,1031725,1314404,520461
Capital Expenditure,-463268,-463268,-392419,-533826,-455958
Free Cash Flow,770183,770183,639306,780578,64503
