Breakdown,6/30/2019,6/30/2018,4/30/2016
Total Assets,1040466,884871,369171
Liabilities,,,
Total Liabilities,80199,48414,0
Stockholders' Equity,,,
Common Stock,859029,768406,369171
Retained Earnings,-570.343,-570.343,-
Accumulated other comprehensive income,101809,68621,-
Total stockholders' equity,960267,836457,369171
Total liabilities and stockholders' equity,1040466,884871,369171
