Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,137026,140849,136747
Liabilities,,,
Total Liabilities,300,420,192
Stockholders' Equity,,,
Common Stock,1751,2194,1718
Total stockholders' equity,136726,140429,136555
Total liabilities and stockholders' equity,137026,140849,136747
