Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,300280,264223,160209,135509
Depreciation & amortization,-,4349,1730,2638
Stock based compensation,-,3729,8335,12120
Change in working capital,-,5285,-78835,-448078
Inventory,-,-184781,-,-
Other working capital,65790,254357,137269,-229052
Other non-cash items,-,35155,53069,41328
Net cash provided by operating activites,79138,267705,141954,-228029
Investments in property plant and equipment,-,-13348,-4685,-1023
Acquisitions net,-,-383490,-8000,-20000
Purchases of investments,-,-20379,-76920,-6130
Sales/Maturities of investments,-,97773,-,-
Net cash used for investing activites,-158522,-379114,-88854,35324
Net change in cash,-133180,23774,12658,-67605
Cash at beginning of period,157583,60537,20977,89510
Cash at end of period,24403,88280,32475,20977
Operating Cash Flow,79138,267705,141954,-228029
Capital Expenditure,-,-13348,-4685,-1023
Free Cash Flow,65790,254357,137269,-229052
