Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6131000,6869000,6574000,7305000
Depreciation & amortization,-,2940000,3644000,3619000
Change in working capital,-,-5469000,-1937000,3769000
Inventory,-,-2112000,901000,3286000
Other working capital,-,-4029000,6583000,13741000
Other non-cash items,-,-3000000,1913000,2964000
Net cash provided by operating activites,-,340000,10456000,16386000
Investments in property plant and equipment,-,-4369000,-3873000,-2645000
Acquisitions net,-,-,-399000,-
Purchases of investments,-,-620000,-7099000,-16600000
Sales/Maturities of investments,-,19997000,5000000,6403000
Other investing activites,-,-92000,-192000,-389000
Net cash used for investing activites,-,14939000,-6038000,-13142000
Net change in cash,-,-12057000,471000,-2543000
Cash at beginning of period,-,42971000,42499000,45043000
Cash at end of period,-,30914000,42971000,42499000
Operating Cash Flow,-,340000,10456000,16386000
Capital Expenditure,-,-4369000,-3873000,-2645000
Free Cash Flow,-,-4029000,6583000,13741000
