Breakdown,12/31/2018,12/31/2017
Total Assets,132387,104192
Liabilities,,
Total Liabilities,17886,17890
Stockholders' Equity,,
Common Stock,90259,73651
Retained Earnings,24241,12651
Total stockholders' equity,114500,86302
Total liabilities and stockholders' equity,132387,104192
