Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Acquisitions net,-,-4.304,-258.455,-,-
Purchases of investments,-6981,-5984,-4271,-240,-
Sales/Maturities of investments,5322,29.89,3102,2220,1163
Other investing activites,2125,1566,9183,372,937
Net cash used for investing activites,597.78,-4256,7782,2356,2353
Debt repayment,-,-,-,-,-1020
Common stock repurchased,-423.478,-59.83,-79.45,-,-92
Dividends Paid,-,-790.401,-790.402,-,-795
Net cash used privided by (used for) financing activities,2933,2749,-869.852,-,-1907
Net change in cash,650.804,-3269,3788,-46,-1168
Cash at beginning of period,2927,5008,1414,1665,2833
Cash at end of period,3578,1549,5008,1415,1665
Free Cash Flow,-2880,-1762,-3124,-2402,-1614
