Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,20949000,18438000,18431000,20837000
Depreciation & amortization,-,13842000,12301000,11946000
Change in working capital,-,-2078000,-3089000,-430000
Inventory,-,-2253000,-2603000,-683000
Other working capital,-,2638000,7639000,16500000
Other non-cash items,-,-949000,470000,727000
Net cash provided by operating activites,-,31028000,29370000,33644000
Investments in property plant and equipment,-,-28390000,-21731000,-17144000
Purchases of investments,-,-81029000,-81174000,-97435000
Sales/Maturities of investments,-,88342000,85083000,93031000
Other investing activites,-,-6248000,-2477000,-9124000
Net cash used for investing activites,-,-27358000,-20384000,-30843000
Net change in cash,-,-2123000,2181000,-4281000
Cash at beginning of period,-,25409000,23228000,27510000
Cash at end of period,-,23286000,25409000,23228000
Operating Cash Flow,-,31028000,29370000,33644000
Capital Expenditure,-,-28390000,-21731000,-17144000
Free Cash Flow,-,2638000,7639000,16500000
