Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,719421,771534,737031
Liabilities,,,
Total Liabilities,72770,82533,85864
Stockholders' Equity,,,
Common Stock,511878,511878,511878
Retained Earnings,134773,177123,141682
Total stockholders' equity,646651,689001,651167
Total liabilities and stockholders' equity,719421,771534,737031
