Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,287556000,192705000,154057000,210447000
Depreciation & amortization,-,74116000,75755000,73577000
Change in working capital,-,652300000,671419000,978269000
Other working capital,-,668741000,754704000,1039182000
Other non-cash items,-,-32683000,-116310000,-92262000
Net cash provided by operating activites,-,776724000,822640000,1086948000
Investments in property plant and equipment,-,-107983000,-67936000,-47766000
Acquisitions net,-,-,-85341000,-
Purchases of investments,-,-4565925000,-3723784000,-3342552000
Sales/Maturities of investments,-,3940221000,2897449000,2656580000
Other investing activites,-,483818000,16631000,110572000
Net cash used for investing activites,-,-252417000,-963105000,-614899000
Net change in cash,-,475019000,-92396000,360399000
Cash at beginning of period,-,1323506000,1415903000,1056407000
Cash at end of period,-,1798526000,1323506000,1415903000
Operating Cash Flow,-,776724000,822640000,1086948000
Capital Expenditure,-,-107983000,-67936000,-47766000
Free Cash Flow,-,668741000,754704000,1039182000
