Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,3583550,3210006,2315068,1881107
Depreciation & amortization,-,655253,598733,526253
Change in working capital,-,179370,-225367,195922
Inventory,-,-638955,-647093,-176777
Other working capital,1157123,1715553,1728453,1549300
Other non-cash items,-,-7896,-27466,3340
Net cash provided by operating activites,3836851,3889186,2747596,2611266
Investments in property plant and equipment,-2679728,-2173633,-1019143,-1061966
Acquisitions net,-379439,-155932,-335156,-56581
Purchases of investments,-2061439,-3863950,-1303128,-82137
Sales/Maturities of investments,85791,68814,-,0
Other investing activites,2890269,2305789,-323.3799,1295
Net cash used for investing activites,-1884190,-3705240,-2746898,-1192330
Net change in cash,363117,26624,1363918,1013858
Cash at beginning of period,3676830,4534745,2702920,2058952
Cash at end of period,4039947,4327020,4314534,2896342
Operating Cash Flow,3836851,3889186,2747596,2611266
Capital Expenditure,-2679728,-2173633,-1019143,-1061966
Free Cash Flow,1157123,1715553,1728453,1549300
