Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,920441,538659,241732,266921
Depreciation & amortization,-,100586,116983,116398
Change in working capital,-,-1720958,624050,104331
Inventory,-,420409,-409688,45135
Other working capital,-,-1015245,998903,251471
Other non-cash items,-,13041,2512,-100138
Net cash provided by operating activites,-,-980227,1039258,267540
Investments in property plant and equipment,-,-35018,-40355,-16069
Purchases of investments,-,-63179,-45415,-56391
Sales/Maturities of investments,-,43,10240,39141
Other investing activites,-,-92,44,8620
Net cash used for investing activites,-,-98246,-75486,-24699
Net change in cash,-,-925935,894882,-315917
Cash at beginning of period,-,1836547,941665,1257583
Cash at end of period,-,910612,1836547,941665
Operating Cash Flow,-,-980227,1039258,267540
Capital Expenditure,-,-35018,-40355,-16069
Free Cash Flow,-,-1015245,998903,251471
