Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,340906973,242800125,211207371
Liabilities,,,
Total Liabilities,253653156,167429626,139067518
Stockholders' Equity,,,
Common Stock,42479808,42479808,42479808
Retained Earnings,18254471,17632428,15460852
Total stockholders' equity,78281201,74366907,71181883
Total liabilities and stockholders' equity,340906973,242800125,211207371
