Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2569,-2502,-4094,-3750,-3618
Other investing activites,-177.281,417.286,491.423,404.05,2638
Net cash used for investing activites,-2449,-2084,-3597,-3346,-979.388
Common stock issued,1384,1801,2960,3407,2954
Common stock repurchased,-21.16,-10.732,-85.662,-49.947,-24.176
Net cash used privided by (used for) financing activities,1363,1790,2875,3357,2930
Net change in cash,-1668,-379.791,-771.02,-53.3,2312
Cash at beginning of period,3372,2860,3631,3684,1372
Cash at end of period,1704,2480,2860,3631,3684
Capital Expenditure,-2569,-2502,-4094,-3750,-3618
Free Cash Flow,-3151,-2587,-4143,-3815,-3256
