Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,46226,46226,44176,42177,29882
Interest Expense,13140,13140,9909,6647,4190
Income Before Tax,15303,15303,14593,13677,8321
Income Tax Expense,2592,2592,2162,4222,1905
Income from Continuing Operations,12711,12711,12431,9455,6416
Net Income,12711,12711,12431,9455,6416
Net Income available to common shareholders,12711,12711,12431,9455,6416
Basic EPS,-,-,1.93,1.56,1.52
Diluted EPS,-,-,1.92,1.55,1.51
Basic Average Shares,-,-,6460,6058,4216
Diluted Average Shares,-,-,6488,6092,4238
