Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,784200,891467,856116,757333
Depreciation & amortization,-,115277,118615,131774
Stock based compensation,-,2992,8766,6793
Change in working capital,-,-36994,271364,54392
Other working capital,-,860385,1175024,767227
Other non-cash items,-,-634,6670,-1800
Net cash provided by operating activites,-,992791,1320506,1001416
Investments in property plant and equipment,-,-132406,-145482,-234189
Purchases of investments,-,-1000000,-,-
Sales/Maturities of investments,-,1000000,-,-
Other investing activites,-,-114668,-69299,-46038
Net cash used for investing activites,-,-247074,-214781,-280227
Net change in cash,-,428736,845166,498080
Cash at beginning of period,-,4892789,4047623,3549542
Cash at end of period,-,5321526,4892789,4047623
Operating Cash Flow,-,992791,1320506,1001416
Capital Expenditure,-,-132406,-145482,-234189
Free Cash Flow,-,860385,1175024,767227
