Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4253000,5441000,4836976,4070252
Depreciation & amortization,-,2658000,1948547,1715567
Change in working capital,-,-460000,-64727,-642996
Inventory,-,-357000,-925233,-107434
Other working capital,-,966000,3161579,-329221
Other non-cash items,-,131000,210128,32288
Net cash provided by operating activites,-,8044000,7611042,5237949
Investments in property plant and equipment,-,-7078000,-4449463,-5567170
Purchases of investments,-,-656000,-4016389,-2611202
Sales/Maturities of investments,-,2731000,3582915,1676820
Other investing activites,-,-33000,22474,-41753
Net cash used for investing activites,-,-4617000,-4681608,-6537165
Net change in cash,-,3406000,738264,241609
Cash at beginning of period,-,8807000,8068802,7827193
Cash at end of period,-,12213000,8807066,8068802
Operating Cash Flow,-,8044000,7611042,5237949
Capital Expenditure,-,-7078000,-4449463,-5567170
Free Cash Flow,-,966000,3161579,-329221
