Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-15240,-15240,-23402,-20013,-12045
Acquisitions net,-1700,-1700,-72448,-40642,-25620
Purchases of investments,-,-,-72448,-,-
Other investing activites,-,-,270,-,-
Net cash used for investing activites,-14315,-14315,-95580,-60655,-36605
Debt repayment,-3518,-3518,-10641,-1510,-1609
Common stock issued,-,-,80947,20127,34522
Common stock repurchased,-,-,-3439,-1037,-1803
Dividends Paid,-5558,-5558,-4349,-3963,-2937
Other financing activites,-,-,-,-,252
Net cash used privided by (used for) financing activities,-6576,-6576,78419,34738,30760
Net change in cash,-2368,-2368,-2319,-3329,3584
Cash at beginning of period,7171,7171,9490,12819,9235
Cash at end of period,4803,4803,7171,9490,12819
Capital Expenditure,-15240,-15240,-23402,-20013,-12045
Free Cash Flow,3283,3283,-8560,2575,-2616
