Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-28074,-28074,-5818
Acquisitions net,-4059,-4059,-
Net cash used for investing activites,-25917,-25917,-4556
Debt repayment,-11057,-11057,-90681
Common stock issued,26838,26838,99998
Common stock repurchased,-,-,-8074
Dividends Paid,-9198,-9198,-30269
Other financing activites,-,-,-27848
Net cash used privided by (used for) financing activities,6583,6583,-23026
Net change in cash,4647,4647,-6365
Cash at beginning of period,1500,1500,7865
Cash at end of period,6101,6101,1500
Capital Expenditure,-28074,-28074,-5818
Free Cash Flow,-4093,-4093,15399
