Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-303.309,-303.309,-503.209,-257.763
Acquisitions net,-1309,-1309,-125,-752.753
Purchases of investments,-538.47,-538.47,-56.45,-
Net cash used for investing activites,-2151,-2151,-684.659,-649.426
Debt repayment,-149.806,-149.806,-,-175.084
Common stock issued,10198,10198,619.348,6313
Other financing activites,-150.728,-150.728,-,-
Net cash used privided by (used for) financing activities,10018,10018,670.002,6138
Net change in cash,6188,6188,-1600,3094
Cash at beginning of period,1680,1680,3271,191.053
Cash at end of period,7843,7843,1680,3271
Capital Expenditure,-303.309,-303.309,-503.209,-257.763
Free Cash Flow,-1983,-1983,-2088,-2652
