Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3838000,2844000,3866094,2063642
Depreciation & amortization,1609000,462000,395013,1402754
Change in working capital,474000,180000,-188479,-1578378
Other working capital,4280000,3543000,2485736,1750553
Other non-cash items,585000,248000,72309,79429
Net cash provided by operating activites,5175000,3956000,3080533,2519229
Investments in property plant and equipment,-895000,-413000,-594797,-768676
Acquisitions net,-143000,-59000,-,0
Purchases of investments,-,-,0,-
Sales/Maturities of investments,2000,56000,100336,409209
Other investing activites,-126000,-130000,57082,-42041
Net cash used for investing activites,-1162000,-546000,258389,-377368
Net change in cash,279000,2339000,-2966,-225808
Cash at beginning of period,7165000,6615000,6619600,6845409
Cash at end of period,7444000,8956000,6615882,6619600
Operating Cash Flow,5175000,3956000,3080533,2519229
Capital Expenditure,-895000,-413000,-594797,-768676
Free Cash Flow,4280000,3543000,2485736,1750553
